timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-07-12T00:00:00.000Z";"2024-07-12T23:59:59.999Z";"2024-07-12T18:51:00.000Z";"2024-07-12T01:27:00.000Z";"2781";57341.1949342451;58532.5530575507;56590.1744886772;57899.4655171113;25604805220.57;1141786144917.27;"2024-07-12T23:59:59.999Z"
"2024-07-11T00:00:00.000Z";"2024-07-11T23:59:59.999Z";"2024-07-11T12:34:00.000Z";"2024-07-11T03:22:00.000Z";"2781";57729.8908040311;59299.4342862437;57120.3775087818;57344.914785087;28707803842.25;1130840802043.28;"2024-07-11T23:59:59.999Z"
"2024-07-10T00:00:00.000Z";"2024-07-10T23:59:59.999Z";"2024-07-10T05:09:00.000Z";"2024-07-10T20:34:00.000Z";"2781";58033.8844856386;59359.4323917866;57178.4125249149;57742.4946206796;26175260525.73;1138673101575.64;"2024-07-10T23:59:59.999Z"
"2024-07-09T00:00:00.000Z";"2024-07-09T23:59:59.999Z";"2024-07-09T18:46:00.000Z";"2024-07-09T00:32:00.000Z";"2781";56704.5969356415;58239.1969981092;56316.8751540777;58009.2263162293;27849512607.28;1143927440649.47;"2024-07-09T23:59:59.999Z"
"2024-07-08T00:00:00.000Z";"2024-07-08T23:59:59.999Z";"2024-07-08T09:03:00.000Z";"2024-07-08T01:23:00.000Z";"2781";55849.5737694153;58131.3373014961;54321.0190639668;56705.0984270702;39766159898.66;1118206962401.32;"2024-07-08T23:59:59.999Z"
"2024-07-07T00:00:00.000Z";"2024-07-07T23:59:59.999Z";"2024-07-07T02:21:00.000Z";"2024-07-07T23:51:00.000Z";"2781";58239.4304736734;58371.1203868862;55793.3259432251;55849.1106386094;20553359505.21;1101324021018.89;"2024-07-07T23:59:59.999Z"
"2024-07-06T00:00:00.000Z";"2024-07-06T23:59:59.999Z";"2024-07-06T23:31:00.000Z";"2024-07-06T05:03:00.000Z";"2781";56659.075234024;58472.5487392065;56038.9616404155;58303.5385809166;20610320576.89;1149721701454.25;"2024-07-06T23:59:59.999Z"
"2024-07-05T00:00:00.000Z";"2024-07-05T23:59:59.999Z";"2024-07-05T00:51:00.000Z";"2024-07-05T04:20:00.000Z";"2781";57022.8092189746;57497.1514256945;53717.3754334207;56662.3732744795;55417544033.35;1117355596306.79;"2024-07-05T23:59:59.999Z"
"2024-07-04T00:00:00.000Z";"2024-07-04T23:59:59.999Z";"2024-07-04T00:42:00.000Z";"2024-07-04T13:45:00.000Z";"2781";60147.137642006;60399.6747732512;56777.8049467793;56977.7014590912;41149609229.76;1123568935037.48;"2024-07-04T23:59:59.999Z"
"2024-07-03T00:00:00.000Z";"2024-07-03T23:59:59.999Z";"2024-07-03T00:36:00.000Z";"2024-07-03T21:03:00.000Z";"2781";62034.3301365905;62187.7048428681;59419.3883912521;60173.9235814982;29756701684.52;1186592344846.68;"2024-07-03T23:59:59.999Z"
"2024-07-02T00:00:00.000Z";"2024-07-02T23:59:59.999Z";"2024-07-02T03:43:00.000Z";"2024-07-02T16:10:00.000Z";"2781";62844.4115540899;63203.3594480376;61752.7466366257;62029.0168101831;20151616991.74;1223171892635.89;"2024-07-02T23:59:59.999Z"
"2024-07-01T00:00:00.000Z";"2024-07-01T23:59:59.999Z";"2024-07-01T18:21:00.000Z";"2024-07-01T13:51:00.000Z";"2781";62673.6063386528;63777.227541783;62495.5101039097;62851.9800679276;25468379421.26;1239386428568.86;"2024-07-01T23:59:59.999Z"
